지역명(한글),STN ID,위도(LAT),경도(LON),관측종류,제공 정보,해수면온도+유의파고
울릉도,21229,37.4554,131.1144,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
덕적도,22101,37.2361,126.0188,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
칠발도,22102,34.7933,125.7769,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
거문도,22103,34.0014,127.5014,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
거제도,22104,34.7667,128.9,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
동해,22105,37.5442,130,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
포항,22106,36.35,129.7833,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
외연도,22108,36.25,125.75,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
신안,22183,34.7333,126.2417,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
추자도,22184,33.79361,126.1411,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
인천,22185,37.0917,125.4289,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
부안,22186,35.6586,125.8139,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
서귀포,22187,33.1281,127.0228,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
통영,22188,34.3917,128.225,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
울산,22189,35.3453,129.8414,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
울진,22190,36.9069,129.8744,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
서해170,22191,36.13333,124.05694,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
서해206,22192,34,123.2625,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
홍도,22298,34.746667,125.245556,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
서해190,22299,35,124.13,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
남해239,22300,32.83,124.73,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
남해465,22301,31.666667,126.4,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
동해78,22302,36.966667,130.516667,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
풍도,22303,37.15833,126.41,B,HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속),a
제주항,22457,33.5248,126.4943,C,TW(해수면온도), WH(유의파고),a
장안,22454,35.2973,129.2887,C,TW(해수면온도), WH(유의파고),a
연곡,22451,37.8668,128.8857,C,TW(해수면온도), WH(유의파고),a
추자도,22468,33.9723,126.2785,C,TW(해수면온도), WH(유의파고),a
신진도,22444,36.6048,126.1265,C,TW(해수면온도), WH(유의파고),a
월포,22490,36.2167,129.4013,C,TW(해수면온도), WH(유의파고),a
대치마도,22489,35.0173,126.0322,C,TW(해수면온도), WH(유의파고),a
이작도,22461,37.1648,126.2067,C,TW(해수면온도), WH(유의파고),a
해금강,22455,34.7367,128.6908,C,TW(해수면온도), WH(유의파고),a
소매물도,22485,34.6205,128.5383,C,TW(해수면온도), WH(유의파고),a
후포,22465,36.7188,129.4882,C,TW(해수면온도), WH(유의파고),a
울릉읍,22464,37.4718,130.9003,C,TW(해수면온도), WH(유의파고),a
혈암,22442,37.541,130.8542,C,TW(해수면온도), WH(유의파고),a
금오도,22466,34.5667,127.7765,C,TW(해수면온도), WH(유의파고),a
고흥,22478,34.3752,127.178,C,TW(해수면온도), WH(유의파고),a
노화도,22477,34.2413,126.4915,C,TW(해수면온도), WH(유의파고),a
청산도,22456,34.1377,126.7437,C,TW(해수면온도), WH(유의파고),a
맹골수도,22481,34.2265,125.9543,C,TW(해수면온도), WH(유의파고),a
진도,22449,34.4413,126.056,C,TW(해수면온도), WH(유의파고),a
영광,22475,35.4353,126.1765,C,TW(해수면온도), WH(유의파고),a
토성,22471,38.2768,128.5755,C,TW(해수면온도), WH(유의파고),a
서천,22473,36.1668,126.333,C,TW(해수면온도), WH(유의파고),a
가파도,22476,33.1625,126.263,C,TW(해수면온도), WH(유의파고),a
중문,22458,33.225,126.3918,C,TW(해수면온도), WH(유의파고),a
비안도,22492,35.74,126.3525,C,TW(해수면온도), WH(유의파고),a
간절곶,22483,35.3668,129.375,C,TW(해수면온도), WH(유의파고),a
독도,22441,37.237,131.8698,C,TW(해수면온도), WH(유의파고),a
낙월,22494,35.2007,126.2103,C,TW(해수면온도), WH(유의파고),a
오륙도,22459,35.0948,129.1282,C,TW(해수면온도), WH(유의파고),a
다대포,22460,35.0222,128.9557,C,TW(해수면온도), WH(유의파고),a
영락,22505,33.2392,126.1937,C,TW(해수면온도), WH(유의파고),a
신산,22495,33.3778,126.9063,C,TW(해수면온도), WH(유의파고),a
나로도,22502,34.4322,127.5892,C,TW(해수면온도), WH(유의파고),a
남해,22498,34.6963,127.993,C,TW(해수면온도), WH(유의파고),a
위도,22504,35.6582,126.2613,C,TW(해수면온도), WH(유의파고),a
장봉도,22496,37.49,126.3528,C,TW(해수면온도), WH(유의파고),a
변산,22497,35.6587,126.4593,C,TW(해수면온도), WH(유의파고),a
불무도,22503,34.318,126.1733,C,TW(해수면온도), WH(유의파고),a
초도,22507,34.1512,127.2173,C,TW(해수면온도), WH(유의파고),a
조도,22500,34.287,126.115,C,TW(해수면온도), WH(유의파고),a
장안퇴,22509,37.033,126.2828,C,TW(해수면온도), WH(유의파고),a
두미도,22450,34.7092,128.1495,C,TW(해수면온도), WH(유의파고),a
천수만,22487,36.4672,126.4403,C,TW(해수면온도), WH(유의파고),a
한산도,22467,34.7058,128.497,C,TW(해수면온도), WH(유의파고),a
맹방,22479,37.4013,129.2292,C,TW(해수면온도), WH(유의파고),a
연화도,22499,34.674,128.3655,C,TW(해수면온도), WH(유의파고),a
기장,22511,35.2195,129.265,C,TW(해수면온도), WH(유의파고),a
지심도,22512,34.8278,128.7758,C,TW(해수면온도), WH(유의파고),a
이수도,22513,34.9728,128.7577,C,TW(해수면온도), WH(유의파고),a
구엄,22514,33.5205,126.3747,C,TW(해수면온도), WH(유의파고),a
위미,22515,33.2233,126.7098,C,TW(해수면온도), WH(유의파고),a
당사,22518,35.5788,129.5032,C,TW(해수면온도), WH(유의파고),a
고성,22519,38.318,128.644,C,TW(해수면온도), WH(유의파고),a
삼척,22521,37.4635,129.3197,C,TW(해수면온도), WH(유의파고),a
연평도,22522,37.619,125.6483,C,TW(해수면온도), WH(유의파고),a
죽변,22523,37.1025,129.46,C,TW(해수면온도), WH(유의파고),a
구룡포,22524,35.9675,129.5993,C,TW(해수면온도), WH(유의파고),a
볼음도,22525,37.6115,126.134,C,TW(해수면온도), WH(유의파고),a
녹도,22526,36.2638,126.2073,C,TW(해수면온도), WH(유의파고),a
